PlayerYearID|Name|Team|Year|CMP|ATT|CMP PCT|YARDS|YPA|ADJ YPA|TD|INT|PASS RTG|TD PCT|INT PCT|CollegeID|Link
aaren-vaughns-1-2017|Aaren Vaughns|Utah State|2017|1|2|50|29|14.5|24.5|1|0|336.8|50|0|aaren-vaughns-1|/cfb/players/aaren-vaughns-1.html
aaron-winchester-2-2017|Aaron Winchester|Georgia State|2017|6|9|66.7|102|11.3|8.6|1|1|176.3|11.11|11.11|aaron-winchester-2|/cfb/players/aaron-winchester-2.html
ahmad-bradshaw-2-2017|Ahmad Bradshaw|Army|2017|14|43|32.6|285|6.6|5|1|2|86.6|2.33|4.65|ahmad-bradshaw-2|/cfb/players/ahmad-bradshaw-2.html
aj-bush-1-2017|AJ Bush|Virginia Tech|2017|7|11|63.6|99|9|10.8|1|0|169.2|9.09|0|aj-bush-1|/cfb/players/aj-bush-1.html
aj-erdely-1-2017|A.J. Erdely|UAB|2017|205|338|60.7|2331|6.9|7.3|16|4|131.8|4.73|1.18|aj-erdely-1|/cfb/players/aj-erdely-1.html
alex-barnes-1-2017|Alex Barnes|Kansas State|2017|1|1|100|3|3|23|1|0|455.2|100|0|alex-barnes-1|/cfb/players/alex-barnes-1.html
alex-delton-1-2017|Alex Delton|Kansas State|2017|49|85|57.6|637|7.5|7.1|3|2|127.5|3.53|2.35|alex-delton-1|/cfb/players/alex-delton-1.html
alex-hornibrook-1-2017|Alex Hornibrook|Wisconsin|2017|198|318|62.3|2644|8.3|7.8|25|15|148.6|7.86|4.72|alex-hornibrook-1|/cfb/players/alex-hornibrook-1.html
alex-mcgough-1-2017|Alex McGough|Florida International|2017|232|355|65.4|2798|7.9|7.8|17|8|142.9|4.79|2.25|alex-mcgough-1|/cfb/players/alex-mcgough-1.html
alex-mussat-1-2017|Alex Mussat|Western Michigan|2017|1|1|100|5|5|5|0|0|142|0|0|alex-mussat-1|/cfb/players/alex-mussat-1.html
allen-staggers-1-2017|Allen Staggers|Southern Mississippi|2017|1|2|50|18|9|9|0|0|125.6|0|0|allen-staggers-1|/cfb/players/allen-staggers-1.html
andre-baccellia-1-2017|Andre Baccellia|Washington|2017|1|1|100|52|52|52|0|0|536.8|0|0|andre-baccellia-1|/cfb/players/andre-baccellia-1.html
andre-nunez-1-2017|Andre Nunez|Louisiana|2017|61|99|61.6|783|7.9|7.8|4|2|137.3|4.04|2.02|andre-nunez-1|/cfb/players/andre-nunez-1.html
andrew-celis-1-2017|Andrew Celis|Nevada|2017|3|5|60|76|15.2|19.2|1|0|253.7|20|0|andrew-celis-1|/cfb/players/andrew-celis-1.html
andrew-ford-1-2017|Andrew Ford|Massachusetts|2017|223|353|63.2|2924|8.3|9|22|4|151.1|6.23|1.13|andrew-ford-1|/cfb/players/andrew-ford-1.html
andrew-meyer-1-2017|Andrew Meyer|Ohio|2017|1|1|100|15|15|15|0|0|226|0|0|andrew-meyer-1|/cfb/players/andrew-meyer-1.html
andrew-smith-6-2017|Andrew Smith|Air Force|2017|0|1|0|0|0|0|0|0|0|0|0|andrew-smith-6|/cfb/players/andrew-smith-6.html
anthony-brown-11-2017|Anthony Brown|Boston College|2017|134|258|51.9|1367|5.3|4.6|11|9|103.5|4.26|3.49|anthony-brown-11|/cfb/players/anthony-brown-11.html
anthony-miller-6-2017|Anthony Miller|Memphis|2017|1|3|33.3|35|11.7|11.7|0|0|131.3|0|0|anthony-miller-6|/cfb/players/anthony-miller-6.html
anthony-ratliff-williams-1-2017|Anthony Ratliff-Williams|North Carolina|2017|3|4|75|86|21.5|31.5|2|0|420.6|50|0|anthony-ratliff-williams-1|/cfb/players/anthony-ratliff-williams-1.html
anu-solomon-1-2017|Anu Solomon|Baylor|2017|24|55|43.6|399|7.3|7.1|4|2|121.3|7.27|3.64|anu-solomon-1|/cfb/players/anu-solomon-1.html
arion-worthman-1-2017|Arion Worthman|Air Force|2017|54|109|49.5|1100|10.1|10.3|10|4|157.2|9.17|3.67|arion-worthman-1|/cfb/players/arion-worthman-1.html
armani-rogers-1-2017|Armani Rogers|UNLV|2017|99|189|52.4|1471|7.8|7.2|6|5|122.9|3.17|2.65|armani-rogers-1|/cfb/players/armani-rogers-1.html
arthur-hart-1-2017|Arthur Hart|Charlotte|2017|0|1|0|0|0|0|0|0|0|0|0|arthur-hart-1|/cfb/players/arthur-hart-1.html
austin-allen-1-2017|Austin Allen|Arkansas|2017|105|187|56.1|1427|7.6|7.5|10|5|132.5|5.35|2.67|austin-allen-1|/cfb/players/austin-allen-1.html
austin-conway-1-2017|Austin Conway|Wyoming|2017|2|2|100|22|11|11|0|0|192.4|0|0|austin-conway-1|/cfb/players/austin-conway-1.html
austin-fort-1-2017|Austin Fort|Wyoming|2017|1|1|100|-1|-1|-1|0|0|91.6|0|0|austin-fort-1|/cfb/players/austin-fort-1.html
austin-kafentzis-1-2017|Austin Kafentzis|Brigham Young|2017|0|1|0|0|0|0|0|0|0|0|0|austin-kafentzis-1|/cfb/players/austin-kafentzis-1.html
austin-proehl-1-2017|Austin Proehl|North Carolina|2017|0|1|0|0|0|0|0|0|0|0|0|austin-proehl-1|/cfb/players/austin-proehl-1.html
austin-wilson-2-2017|Austin Wilson|Coastal Carolina|2017|1|4|25|7|1.8|1.8|0|0|39.7|0|0|austin-wilson-2|/cfb/players/austin-wilson-2.html
baker-mayfield-1-2017|Baker Mayfield|Oklahoma|2017|285|404|70.5|4627|11.5|12.9|43|6|198.9|10.64|1.49|baker-mayfield-1|/cfb/players/baker-mayfield-1.html
beau-hoge-1-2017|Beau Hoge|Brigham Young|2017|19|39|48.7|257|6.6|4.2|2|3|105.6|5.13|7.69|beau-hoge-1|/cfb/players/beau-hoge-1.html
ben-dinucci-1-2017|Ben DiNucci|Pitt|2017|88|158|55.7|1091|6.9|6.1|5|5|117.8|3.16|3.16|ben-dinucci-1|/cfb/players/ben-dinucci-1.html
ben-hicks-1-2017|Ben Hicks|SMU|2017|276|472|58.5|3569|7.6|7.8|33|12|140|6.99|2.54|ben-hicks-1|/cfb/players/ben-hicks-1.html
benjamin-snell-jr-1-2017|Benjamin Snell Jr.|Kentucky|2017|0|2|0|0|0|0|0|0|0|0|0|benjamin-snell-jr-1|/cfb/players/benjamin-snell-jr-1.html
billy-bahl-1-2017|Billy Bahl|Miami (OH)|2017|61|117|52.1|820|7|6.3|5|4|118.3|4.27|3.42|billy-bahl-1|/cfb/players/billy-bahl-1.html
billy-fessler-1-2017|Billy Fessler|Penn State|2017|1|2|50|8|4|4|0|0|83.6|0|0|billy-fessler-1|/cfb/players/billy-fessler-1.html
blake-barnett-2-2017|Blake Barnett|Arizona State|2017|3|5|60|40|8|-1|0|1|87.2|0|20|blake-barnett-2|/cfb/players/blake-barnett-2.html
blake-johnson-1-2017|Blake Johnson|Arkansas|2017|0|1|0|0|0|0|0|0|0|0|0|blake-johnson-1|/cfb/players/blake-johnson-1.html
blake-larussa-1-2017|Blake LaRussa|Old Dominion|2017|38|67|56.7|420|6.3|5.1|3|3|115.2|4.48|4.48|blake-larussa-1|/cfb/players/blake-larussa-1.html
brandon-dawkins-2-2017|Brandon Dawkins|Arizona|2017|70|114|61.4|732|6.4|5.7|5|4|122.8|4.39|3.51|brandon-dawkins-2|/cfb/players/brandon-dawkins-2.html
brandon-harris-4-2017|Brandon Harris|North Carolina|2017|35|71|49.3|346|4.9|0.1|1|8|72.3|1.41|11.27|brandon-harris-4|/cfb/players/brandon-harris-4.html
brandon-peters-1-2017|Brandon Peters|Michigan|2017|57|108|52.8|672|6.2|6.1|4|2|113.6|3.7|1.85|brandon-peters-1|/cfb/players/brandon-peters-1.html
brandon-presley-1-2017|Brandon Presley|UNLV|2017|0|1|0|0|0|0|0|0|0|0|0|brandon-presley-1|/cfb/players/brandon-presley-1.html
brandon-silvers-2-2017|Brandon Silvers|Troy|2017|283|443|63.9|3290|7.4|7.5|17|7|135.8|3.84|1.58|brandon-silvers-2|/cfb/players/brandon-silvers-2.html
brandon-wimbush-1-2017|Brandon Wimbush|Notre Dame|2017|136|275|49.5|1870|6.8|7|16|6|121.4|5.82|2.18|brandon-wimbush-1|/cfb/players/brandon-wimbush-1.html
braxton-berrios-1-2017|Braxton Berrios|Miami (FL)|2017|1|1|100|17|17|17|0|0|242.8|0|0|braxton-berrios-1|/cfb/players/braxton-berrios-1.html
braxton-burmeister-1-2017|Braxton Burmeister|Oregon|2017|44|77|57.1|330|4.3|1.3|2|6|86.1|2.6|7.79|braxton-burmeister-1|/cfb/players/braxton-burmeister-1.html
brendan-cope-1-2017|Brendan Cope|Ohio|2017|1|1|100|3|3|23|1|0|455.2|100|0|brendan-cope-1|/cfb/players/brendan-cope-1.html
brent-stockstill-1-2017|Brent Stockstill|Middle Tennessee State|2017|138|239|57.7|1672|7|6.8|16|8|131.9|6.69|3.35|brent-stockstill-1|/cfb/players/brent-stockstill-1.html
brett-kean-1-2017|Brett Kean|South Florida|2017|7|11|63.6|64|5.8|5.8|0|0|112.5|0|0|brett-kean-1|/cfb/players/brett-kean-1.html
brett-rypien-1-2017|Brett Rypien|Boise State|2017|218|348|62.6|2877|8.3|8.4|16|6|143.8|4.6|1.72|brett-rypien-1|/cfb/players/brett-rypien-1.html
brian-lewerke-1-2017|Brian Lewerke|Michigan State|2017|246|417|59|2793|6.7|6.9|20|7|127.7|4.8|1.68|brian-lewerke-1|/cfb/players/brian-lewerke-1.html
brice-ramsey-1-2017|Brice Ramsey|Georgia|2017|1|4|25|10|2.5|-20|0|2|-54|0|50|brice-ramsey-1|/cfb/players/brice-ramsey-1.html
brogan-roback-1-2017|Brogan Roback|Eastern Michigan|2017|245|409|59.9|2890|7.1|6.3|19|15|127.3|4.65|3.67|brogan-roback-1|/cfb/players/brogan-roback-1.html
brooks-barden-1-2017|Brooks Barden|Charlotte|2017|13|30|43.3|119|4|1|0|2|63.3|0|6.67|brooks-barden-1|/cfb/players/brooks-barden-1.html
bryant-shirreffs-1-2017|Bryant Shirreffs|Connecticut|2017|171|260|65.8|2287|8.8|9|14|5|153.6|5.38|1.92|bryant-shirreffs-1|/cfb/players/bryant-shirreffs-1.html
bryce-bobo-1-2017|Bryce Bobo|Colorado|2017|1|1|100|11|11|31|1|0|522.4|100|0|bryce-bobo-1|/cfb/players/bryce-bobo-1.html
bryce-rivers-1-2017|Bryce Rivers|UTSA|2017|5|8|62.5|43|5.4|-5.9|0|2|57.7|0|25|bryce-rivers-1|/cfb/players/bryce-rivers-1.html
byron-pringle-1-2017|Byron Pringle|Kansas State|2017|0|1|0|0|0|0|0|0|0|0|0|byron-pringle-1|/cfb/players/byron-pringle-1.html
caleb-evans-2-2017|Caleb Evans|Louisiana-Monroe|2017|211|344|61.3|2878|8.4|8.6|17|6|144.4|4.94|1.74|caleb-evans-2|/cfb/players/caleb-evans-2.html
caleb-henderson-1-2017|Caleb Henderson|Maryland|2017|0|1|0|0|0|0|0|0|0|0|0|caleb-henderson-1|/cfb/players/caleb-henderson-1.html
caleb-wilson-2-2017|Caleb Wilson|UCLA|2017|1|1|100|39|39|39|0|0|427.6|0|0|caleb-wilson-2|/cfb/players/caleb-wilson-2.html
