PlayerYearID|Name|Year|POS|Team|HGT|WGT|FORTY|VERT|BENCH|BROAD|CONE|SHUT|College Link|NFL Link|CollegeID|PlayerID
ade-aruna-1|Ade Aruna|2018|DE|Tulane|78|262|4.6|38.5|18.0|128.0|7.53|4.48|/cfb/players/ade-aruna-1.html|/players/A/ArunAd00.htm|ade-aruna-1|ArunAd00
akrum-wadley-1|Akrum Wadley|2018|RB|Iowa|70|194|4.54|32.0|12.0||||/cfb/players/akrum-wadley-1.html|/players/W/WadlAk00.htm|akrum-wadley-1|WadlAk00
alex-cappa-2018|Alex Cappa|2018|OT|Humboldt St.|78|305|5.39|26.5|24.0|97.0|8.04|4.84||||
allen-lazard-1|Allen Lazard|2018|WR|Iowa St.|77|227|4.55|38.0|17.0|122.0|||/cfb/players/allen-lazard-1.html|/players/L/LazaAl00.htm|allen-lazard-1|LazaAl00
andre-chachere-1|Andre Chachere|2018|CB|San Jose St.|72|200|4.49|38.0|13.0|123.0|6.78|4.07|/cfb/players/andre-chachere-1.html||andre-chachere-1|
andre-smith-7|Andre Smith|2018|ILB|North Carolina|72|237|4.63||19.0||||/cfb/players/andre-smith-7.html||andre-smith-7|
andrew-brown-2|Andrew Brown|2018|DE|Virginia|76|296|5.03|28.0|31.0|101.0|7.51|4.48|/cfb/players/andrew-brown-2.html|/players/B/BrowAn05.htm|andrew-brown-2|BrowAn05
anthony-averett-1|Anthony Averett|2018|CB|Alabama|72|185|4.36|31.5|13.0|119.0|6.93|4.4|/cfb/players/anthony-averett-1.html|/players/A/AverAn00.htm|anthony-averett-1|AverAn00
anthony-miller-6|Anthony Miller|2018|WR|Memphis|71|201|||22.0||||/cfb/players/anthony-miller-6.html|/players/M/MillAn02.htm|anthony-miller-6|MillAn02
anthony-winbush-1|Anthony Winbush|2018|EDGE|Ball St.|73|249|||25.0|110.0|||/cfb/players/anthony-winbush-1.html||anthony-winbush-1|
antonio-callaway-1|Antonio Callaway|2018|WR|Florida|71|200|4.41|34.0||121.0|||/cfb/players/antonio-callaway-1.html|/players/C/CallAn00.htm|antonio-callaway-1|CallAn00
arden-key-1|Arden Key|2018|EDGE|LSU|78|238||31.0||117.0|7.16|4.25|/cfb/players/arden-key-1.html|/players/K/KeyxAr00.htm|arden-key-1|KeyxAr00
armani-watts-1|Armani Watts|2018|S|Texas A&M|71|205||35.0|13.0|120.0|7.25|4.37|/cfb/players/armani-watts-1.html|/players/W/WattAr00.htm|armani-watts-1|WattAr00
auden-tate-1|Auden Tate|2018|WR|Florida St.|77|228|4.68|31.0||112.0|||/cfb/players/auden-tate-1.html|/players/T/TateAu00.htm|auden-tate-1|TateAu00
austin-allen-1|Austin Allen|2018|QB|Arkansas|72|210|4.81|29.5||112.0|7.18|4.48|/cfb/players/austin-allen-1.html||austin-allen-1|
austin-corbett-2|Austin Corbett|2018|OG|Nevada|76|306|5.15|28.0|19.0|106.0|7.87|4.5|/cfb/players/austin-corbett-2.html|/players/C/CorbAu00.htm|austin-corbett-2|CorbAu00
avonte-maddox-1|Avonte Maddox|2018|CB|Pittsburgh|69|180|4.39|37.0|13.0|125.0|6.51|4.0|/cfb/players/avonte-maddox-1.html|/players/M/MaddAv00.htm|avonte-maddox-1|MaddAv00
azeem-victor-1|Azeem Victor|2018|ILB|Washington|73|240|4.72|32.5|19.0|115.0|7.2|4.4|/cfb/players/azeem-victor-1.html||azeem-victor-1|
baker-mayfield-1|Baker Mayfield|2018|QB|Oklahoma|73|215|4.84|29.0||111.0|7.0|4.28|/cfb/players/baker-mayfield-1.html|/players/M/MayfBa00.htm|baker-mayfield-1|MayfBa00
bilal-nichols-2018|Bilal Nichols|2018|DT|Delaware|76|306|4.95||29.0|||||||
