PlayerYearID|Name|Team|Year|RUSH ATT|RUSH YDS|RUSH YPA|RUSH TD|REC|REC YDS|REC YPC|REC TD|Player ID|Link
aaren-vaughns-1-2018|Aaren Vaughns|Utah State|2018|12|100|8.3|0|31|472|15.2|3|aaren-vaughns-1|/cfb/players/aaren-vaughns-1.html
aaron-allen-1-2018|Aaron Allen|Louisiana Tech|2018|2|-6|-3|0|0|0|0|0|aaron-allen-1|/cfb/players/aaron-allen-1.html
aaron-cephus-1-2018|Aaron Cephus|Rice|2018|0|0|0|0|40|565|14.1|5|aaron-cephus-1|/cfb/players/aaron-cephus-1.html
aaron-cruickshank-1-2018|Aaron Cruickshank|Wisconsin|2018|5|37|7.4|1|1|11|11|0|aaron-cruickshank-1|/cfb/players/aaron-cruickshank-1.html
aaron-fuller-1-2018|Aaron Fuller|Washington|2018|0|0|0|0|51|794|15.6|4|aaron-fuller-1|/cfb/players/aaron-fuller-1.html
aaron-hackett-1-2018|Aaron Hackett|Syracuse|2018|0|0|0|0|1|1|1|1|aaron-hackett-1|/cfb/players/aaron-hackett-1.html
aaron-mathews-1-2018|Aaron Mathews|Pitt|2018|0|0|0|0|8|112|14|0|aaron-mathews-1|/cfb/players/aaron-mathews-1.html
aaron-mcallister-1-2018|Aaron McAllister|Charlotte|2018|91|395|4.3|2|7|49|7|0|aaron-mcallister-1|/cfb/players/aaron-mcallister-1.html
aaron-mclean-1-2018|Aaron McLean|Connecticut|2018|0|0|0|0|32|396|12.4|2|aaron-mclean-1|/cfb/players/aaron-mclean-1.html
aaron-molina-1-2018|Aaron Molina|New Mexico|2018|0|0|0|0|4|64|16|0|aaron-molina-1|/cfb/players/aaron-molina-1.html
aaron-short-1-2018|Aaron Short|Oregon State|2018|0|0|0|0|3|42|14|0|aaron-short-1|/cfb/players/aaron-short-1.html
aaron-winchester-2-2018|Aaron Winchester|Georgia State|2018|32|122|3.8|2|0|0|0|0|aaron-winchester-2|/cfb/players/aaron-winchester-2.html
aaron-young-3-2018|Aaron Young|Duke|2018|0|0|0|0|7|139|19.9|1|aaron-young-3|/cfb/players/aaron-young-3.html
abdul-bundu-fitz-1-2018|Abdul Bundu-Fitz|Old Dominion|2018|0|0|0|0|1|4|4|0|abdul-bundu-fitz-1|/cfb/players/abdul-bundu-fitz-1.html
abram-smith-1-2018|Abram Smith|Baylor|2018|4|11|2.8|0|1|3|3|0|abram-smith-1|/cfb/players/abram-smith-1.html
acacedric-ware-1-2018|Aca'Cedric Ware|USC|2018|125|825|6.6|6|9|35|3.9|0|acacedric-ware-1|/cfb/players/acacedric-ware-1.html
ad-miller-1-2018|A.D. Miller|Oklahoma|2018|0|0|0|0|7|75|10.7|2|ad-miller-1|/cfb/players/ad-miller-1.html
